Year;District; Average unemployment 
2016;1;38.99
2016;2;44.52
2016;3;43.87
2016;4;45.18
2016;5;42.27266086
2016;6;42.86
2016;7;41.59272432
2016;8;43.65149215
2016;9;42.47
2016;10;42.74
2015;1;38.99
2015;2;44.52
2015;3;43.87
2015;4;45.18
2015;5;42.27266086
2015;6;42.86
2015;7;41.59272432
2015;8;43.65149215
2015;9;42.47
2015;10;42.74
2014;1;41.14
2014;2;44.75
2014;3;43.69
2014;4;45.15
2014;5;42.21943082
2014;6;44.20
2014;7;45.20
2014;8;43.58
2014;9;42.73
2014;10;42.60
2013;1;38.69
2013;2;44.00
2013;3;43.43
2013;4;44.88
2013;5;42.22675176
2013;6;42.69
2013;7;41.19
2013;8;43.40
2013;9;41.89
2013;10;42.42
