Year;District; Average unemployment ;
2016;1; 1'805.22 ;
2016;2; 1'839.89 ;
2016;3; 1'255.33 ;
2016;4; 1'079.17 ;
2016;5; 652.32 ;
2016;6; 1'063.23 ;
2016;7; 813.32 ;
2016;8; 872.61 ;
2016;9; 1'202.60 ;
2016;10; 1'313.05 ;
2015;1; 2'001.15 ;
2015;2; 2'099.65 ;
2015;3; 1'428.40 ;
2015;4; 1'241.58 ;
2015;5; 746.32 ;
2015;6; 1'217.98 ;
2015;7; 921.72 ;
2015;8; 986.93 ;
2015;9; 1'367.24 ;
2015;10; 1'485.08 ;
2014;1; 2'158.19 ;
2014;2; 2'358.85 ;
2014;3; 1'570.26 ;
2014;4; 1'376.92 ;
2014;5; 824.56 ;
2014;6; 1'354.88 ;
2014;7; 1'026.80 ;
2014;8; 1'073.93 ;
2014;9; 1'507.52 ;
2014;10; 1'645.06 ;
2013;1; 2'317.60 ;
2013;2; 2'571.22 ;
2013;3; 1'646.54 ;
2013;4; 1'458.44 ;
2013;5; 906.67 ;
2013;6; 1'485.68 ;
2013;7; 1'101.60 ;
2013;8; 1'138.63 ;
2013;9; 1'604.56 ;
2013;10; 1'766.43 ;
